SKU,Product,Category,Price,Color,Sizes,Scripture,Image,Status
NV33-TS-001,Lion of Judah Tee,T-Shirts,30,Black,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",Revelation 5:5,assets/products/lion-of-judah-tee.png,Launch Active
NV33-TS-002,Crown 33 Tee,T-Shirts,30,Black,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",John 3:33,assets/products/crown-33-tee.png,Launch Active
NV33-TS-003,Prayer Cross Tee,T-Shirts,25,Black,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",Philippians 4:13,assets/products/prayer-cross-tee.png,Launch Active
NV33-TS-004,Cross & Discipleship Tee,T-Shirts,25,Black,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",Luke 9:23,assets/products/cross-discipleship-tee.png,Launch Active
NV33-TS-005,Crimson Worm Tee,T-Shirts,25,Black,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",Psalm 22:6,assets/products/crimson-worm-tee.png,Launch Active
NV33-TS-006,No Vanity 33 Tee,T-Shirts,20,White,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",1 Corinthians 10:31,assets/products/no-vanity-33-tee.png,Launch Active
NV33-TS-007,YAHWEH White Tee,T-Shirts,30,White,"Youth S, Youth M, Youth L, S, M, L, XL, 2XL, 3XL",Exodus 3:14,assets/products/yahweh-white-tee.png,Launch Active
NV33-TS-ARCHIVE-001,Christ Returns Tee - Review,Archive,30,,,Revelation 19:11-16,assets/products/christ-returns-tee-review.png,Archived for review before launch
